Training:   0%|                                                                                                           | 0/100 [00:00<?, ?it/s]D:\involuntary\works\classes\ANN\HW1\codes\loss.py:39: RuntimeWarning: divide by zero encountered in log
20:40:23.457      Training iter 350, batch loss 0.0023, batch acc 0.9372
20:40:23.632      Training iter 400, batch loss 0.0023, batch acc 0.9362
20:40:23.837      Training iter 450, batch loss 0.0022, batch acc 0.9364
20:40:23.993      Training iter 500, batch loss 0.0024, batch acc 0.9264
20:40:24.191      Training iter 550, batch loss 0.0023, batch acc 0.9358
20:40:24.340      Training iter 600, batch loss 0.0021, batch acc 0.9402
20:40:24.341 Testing @ 3 epoch...
20:40:24.458      Testing, total mean loss 0.00208, total acc 0.93760
20:40:24.627      Training iter 50, batch loss 0.0021, batch acc 0.9392
20:40:24.782      Training iter 100, batch loss 0.0022, batch acc 0.9386
20:40:24.940      Training iter 150, batch loss 0.0019, batch acc 0.9440
20:40:25.155      Training iter 200, batch loss 0.0019, batch acc 0.9438
20:40:25.298      Training iter 250, batch loss 0.0019, batch acc 0.9418
20:40:25.427      Training iter 300, batch loss 0.0020, batch acc 0.9494
20:40:25.625      Training iter 350, batch loss 0.0021, batch acc 0.9446
20:40:25.781      Training iter 400, batch loss 0.0020, batch acc 0.9446
20:40:25.983      Training iter 450, batch loss 0.0021, batch acc 0.9390
20:40:26.198      Training iter 500, batch loss 0.0019, batch acc 0.9450
20:40:26.428      Training iter 550, batch loss 0.0018, batch acc 0.9488
20:40:26.588      Training iter 600, batch loss 0.0019, batch acc 0.9446
20:40:26.590 Testing @ 4 epoch...
20:40:26.682      Testing, total mean loss 0.00183, total acc 0.94660
20:40:26.907      Training iter 50, batch loss 0.0017, batch acc 0.9500
20:40:27.152      Training iter 100, batch loss 0.0018, batch acc 0.9468
20:40:27.387      Training iter 150, batch loss 0.0019, batch acc 0.9470
20:40:27.596      Training iter 200, batch loss 0.0017, batch acc 0.9520
20:40:27.815      Training iter 250, batch loss 0.0020, batch acc 0.9462
20:40:28.008      Training iter 300, batch loss 0.0017, batch acc 0.9518
20:40:28.172      Training iter 350, batch loss 0.0017, batch acc 0.9520
20:40:28.358      Training iter 400, batch loss 0.0018, batch acc 0.9528
20:40:28.553      Training iter 450, batch loss 0.0018, batch acc 0.9472
20:40:28.744      Training iter 500, batch loss 0.0016, batch acc 0.9498
20:40:28.947      Training iter 550, batch loss 0.0017, batch acc 0.9476
20:40:29.160      Training iter 600, batch loss 0.0016, batch acc 0.9546
20:40:29.161 Testing @ 5 epoch...
20:40:29.283      Testing, total mean loss 0.00164, total acc 0.95200
20:40:29.455      Training iter 50, batch loss 0.0015, batch acc 0.9546
20:40:29.673      Training iter 100, batch loss 0.0016, batch acc 0.9536
20:40:29.870      Training iter 150, batch loss 0.0018, batch acc 0.9506
20:40:30.071      Training iter 200, batch loss 0.0016, batch acc 0.9526
20:40:30.288      Training iter 250, batch loss 0.0014, batch acc 0.9602
20:40:30.493      Training iter 300, batch loss 0.0017, batch acc 0.9536
20:40:30.703      Training iter 350, batch loss 0.0015, batch acc 0.9550
20:40:30.912      Training iter 400, batch loss 0.0015, batch acc 0.9548
20:40:31.127      Training iter 450, batch loss 0.0016, batch acc 0.9544
20:40:31.347      Training iter 500, batch loss 0.0015, batch acc 0.9572
20:40:31.546      Training iter 550, batch loss 0.0017, batch acc 0.9530
20:40:31.763      Training iter 600, batch loss 0.0016, batch acc 0.9544
20:40:31.765 Testing @ 6 epoch...
20:40:31.905      Testing, total mean loss 0.00154, total acc 0.95550
20:40:32.125      Training iter 50, batch loss 0.0016, batch acc 0.9516
20:40:32.332      Training iter 100, batch loss 0.0014, batch acc 0.9636
20:40:32.510      Training iter 150, batch loss 0.0014, batch acc 0.9580
20:40:32.693      Training iter 200, batch loss 0.0016, batch acc 0.9554
20:40:32.879      Training iter 250, batch loss 0.0016, batch acc 0.9544
20:40:33.065      Training iter 300, batch loss 0.0014, batch acc 0.9640
20:40:33.246      Training iter 350, batch loss 0.0014, batch acc 0.9590
20:40:33.440      Training iter 400, batch loss 0.0014, batch acc 0.9596
20:40:33.634      Training iter 450, batch loss 0.0014, batch acc 0.9608
20:40:33.827      Training iter 500, batch loss 0.0015, batch acc 0.9578
20:40:34.005      Training iter 550, batch loss 0.0013, batch acc 0.9616
20:40:34.179      Training iter 600, batch loss 0.0013, batch acc 0.9630
20:40:34.180 Testing @ 7 epoch...
20:40:34.320      Testing, total mean loss 0.00140, total acc 0.95830
20:40:34.525      Training iter 50, batch loss 0.0013, batch acc 0.9592
20:40:34.726      Training iter 100, batch loss 0.0014, batch acc 0.9594
20:40:34.927      Training iter 150, batch loss 0.0013, batch acc 0.9632
20:40:35.131      Training iter 200, batch loss 0.0014, batch acc 0.9628
20:40:35.328      Training iter 250, batch loss 0.0014, batch acc 0.9634
20:40:35.530      Training iter 300, batch loss 0.0013, batch acc 0.9616
20:40:35.727      Training iter 350, batch loss 0.0012, batch acc 0.9680
20:40:35.878      Training iter 400, batch loss 0.0013, batch acc 0.9644
20:40:36.004      Training iter 450, batch loss 0.0012, batch acc 0.9646
20:40:36.130      Training iter 500, batch loss 0.0013, batch acc 0.9616
20:40:36.278      Training iter 550, batch loss 0.0012, batch acc 0.9640
20:40:36.452      Training iter 600, batch loss 0.0014, batch acc 0.9606
20:40:36.454 Testing @ 8 epoch...
20:40:36.543      Testing, total mean loss 0.00131, total acc 0.96180
20:40:36.739      Training iter 50, batch loss 0.0012, batch acc 0.9660
20:40:36.867      Training iter 100, batch loss 0.0013, batch acc 0.9638
20:40:37.001      Training iter 150, batch loss 0.0012, batch acc 0.9682
20:40:37.157      Training iter 200, batch loss 0.0012, batch acc 0.9640
20:40:37.318      Training iter 250, batch loss 0.0011, batch acc 0.9696
20:40:37.495      Training iter 300, batch loss 0.0011, batch acc 0.9698
20:40:37.659      Training iter 350, batch loss 0.0013, batch acc 0.9636
20:40:37.828      Training iter 400, batch loss 0.0013, batch acc 0.9622
20:40:38.021      Training iter 450, batch loss 0.0011, batch acc 0.9666
20:40:38.224      Training iter 500, batch loss 0.0012, batch acc 0.9660
20:40:38.394      Training iter 550, batch loss 0.0012, batch acc 0.9652
20:40:38.593      Training iter 600, batch loss 0.0012, batch acc 0.9656
20:40:38.594 Testing @ 9 epoch...
20:40:38.687      Testing, total mean loss 0.00123, total acc 0.96290
20:40:38.882      Training iter 50, batch loss 0.0012, batch acc 0.9700
20:40:39.093      Training iter 100, batch loss 0.0011, batch acc 0.9696
20:40:39.273      Training iter 150, batch loss 0.0012, batch acc 0.9690
20:40:39.470      Training iter 200, batch loss 0.0011, batch acc 0.9660
20:40:39.671      Training iter 250, batch loss 0.0011, batch acc 0.9704
20:40:39.858      Training iter 300, batch loss 0.0011, batch acc 0.9688
20:40:40.086      Training iter 350, batch loss 0.0012, batch acc 0.9652
20:40:40.274      Training iter 400, batch loss 0.0011, batch acc 0.9668
20:40:40.474      Training iter 450, batch loss 0.0011, batch acc 0.9704
20:40:40.661      Training iter 500, batch loss 0.0010, batch acc 0.9700
20:40:40.841      Training iter 550, batch loss 0.0012, batch acc 0.9706
20:40:41.024      Training iter 600, batch loss 0.0011, batch acc 0.9666
20:40:41.025 Testing @ 10 epoch...
20:40:41.123      Testing, total mean loss 0.00117, total acc 0.96530
20:40:41.325      Training iter 50, batch loss 0.0010, batch acc 0.9750
20:40:41.532      Training iter 100, batch loss 0.0010, batch acc 0.9720
20:40:41.697      Training iter 150, batch loss 0.0010, batch acc 0.9718
20:40:41.861      Training iter 200, batch loss 0.0009, batch acc 0.9744
20:40:42.043      Training iter 250, batch loss 0.0011, batch acc 0.9702
20:40:42.243      Training iter 300, batch loss 0.0010, batch acc 0.9738
20:40:42.437      Training iter 350, batch loss 0.0011, batch acc 0.9694
20:40:42.632      Training iter 400, batch loss 0.0010, batch acc 0.9694
20:40:42.819      Training iter 450, batch loss 0.0010, batch acc 0.9718
20:40:43.002      Training iter 500, batch loss 0.0012, batch acc 0.9660
20:40:43.201      Training iter 550, batch loss 0.0010, batch acc 0.9722
20:40:43.373      Training iter 600, batch loss 0.0010, batch acc 0.9678
20:40:43.375 Testing @ 11 epoch...
20:40:43.492      Testing, total mean loss 0.00112, total acc 0.96770
20:40:43.688      Training iter 50, batch loss 0.0011, batch acc 0.9684
20:40:43.834      Training iter 100, batch loss 0.0009, batch acc 0.9724
20:40:43.988      Training iter 150, batch loss 0.0010, batch acc 0.9732
20:40:44.153      Training iter 200, batch loss 0.0008, batch acc 0.9762
20:40:44.328      Training iter 250, batch loss 0.0010, batch acc 0.9718
20:40:44.533      Training iter 300, batch loss 0.0010, batch acc 0.9710
20:40:44.773      Training iter 350, batch loss 0.0009, batch acc 0.9766
20:40:45.014      Training iter 400, batch loss 0.0010, batch acc 0.9712
20:40:45.242      Training iter 450, batch loss 0.0009, batch acc 0.9770
20:40:45.482      Training iter 500, batch loss 0.0010, batch acc 0.9734
20:40:45.731      Training iter 550, batch loss 0.0010, batch acc 0.9682
20:40:45.986      Training iter 600, batch loss 0.0010, batch acc 0.9746
20:40:45.988 Testing @ 12 epoch...
20:40:46.154      Testing, total mean loss 0.00111, total acc 0.96750
20:40:46.392      Training iter 50, batch loss 0.0008, batch acc 0.9774
20:40:46.632      Training iter 100, batch loss 0.0009, batch acc 0.9750
20:40:46.874      Training iter 150, batch loss 0.0009, batch acc 0.9742
20:40:47.106      Training iter 200, batch loss 0.0010, batch acc 0.9728
20:40:47.355      Training iter 250, batch loss 0.0009, batch acc 0.9732
20:40:47.602      Training iter 300, batch loss 0.0009, batch acc 0.9716
20:40:47.837      Training iter 350, batch loss 0.0010, batch acc 0.9730
20:40:48.075      Training iter 400, batch loss 0.0009, batch acc 0.9736
20:40:48.305      Training iter 450, batch loss 0.0009, batch acc 0.9744
20:40:48.539      Training iter 500, batch loss 0.0008, batch acc 0.9762
20:40:48.786      Training iter 550, batch loss 0.0008, batch acc 0.9770
20:40:49.029      Training iter 600, batch loss 0.0009, batch acc 0.9760
20:40:49.031 Testing @ 13 epoch...
20:40:49.212      Testing, total mean loss 0.00102, total acc 0.96920
20:40:49.400      Training iter 50, batch loss 0.0009, batch acc 0.9744
20:40:49.518      Training iter 100, batch loss 0.0008, batch acc 0.9746
20:40:49.624      Training iter 150, batch loss 0.0009, batch acc 0.9756
20:40:49.729      Training iter 200, batch loss 0.0008, batch acc 0.9770
20:40:49.843      Training iter 250, batch loss 0.0009, batch acc 0.9774
20:40:50.039      Training iter 300, batch loss 0.0009, batch acc 0.9762
20:40:50.229      Training iter 350, batch loss 0.0009, batch acc 0.9746
20:40:50.475      Training iter 400, batch loss 0.0009, batch acc 0.9730
20:40:50.715      Training iter 450, batch loss 0.0008, batch acc 0.9770
20:40:50.967      Training iter 500, batch loss 0.0008, batch acc 0.9750
20:40:51.186      Training iter 550, batch loss 0.0009, batch acc 0.9742
20:40:51.434      Training iter 600, batch loss 0.0008, batch acc 0.9768
20:40:51.435 Testing @ 14 epoch...
20:40:51.626      Testing, total mean loss 0.00097, total acc 0.96970
20:40:51.868      Training iter 50, batch loss 0.0008, batch acc 0.9786
20:40:52.111      Training iter 100, batch loss 0.0008, batch acc 0.9780
20:40:52.332      Training iter 150, batch loss 0.0008, batch acc 0.9792
20:40:52.583      Training iter 200, batch loss 0.0008, batch acc 0.9794
20:40:52.824      Training iter 250, batch loss 0.0008, batch acc 0.9772
20:40:53.074      Training iter 300, batch loss 0.0008, batch acc 0.9762
20:40:53.322      Training iter 350, batch loss 0.0008, batch acc 0.9766
20:40:53.568      Training iter 400, batch loss 0.0009, batch acc 0.9764
20:40:53.819      Training iter 450, batch loss 0.0008, batch acc 0.9806
20:40:54.075      Training iter 500, batch loss 0.0008, batch acc 0.9770
20:40:54.314      Training iter 550, batch loss 0.0008, batch acc 0.9768
20:40:54.556      Training iter 600, batch loss 0.0007, batch acc 0.9790
20:40:54.558 Testing @ 15 epoch...
20:40:54.740      Testing, total mean loss 0.00099, total acc 0.97010
20:40:54.976      Training iter 50, batch loss 0.0007, batch acc 0.9810
20:40:55.221      Training iter 100, batch loss 0.0007, batch acc 0.9824
20:40:55.455      Training iter 150, batch loss 0.0008, batch acc 0.9790
20:40:55.698      Training iter 200, batch loss 0.0008, batch acc 0.9756
20:40:55.947      Training iter 250, batch loss 0.0007, batch acc 0.9802
20:40:56.195      Training iter 300, batch loss 0.0008, batch acc 0.9782
20:40:56.435      Training iter 350, batch loss 0.0007, batch acc 0.9812
20:40:56.666      Training iter 400, batch loss 0.0008, batch acc 0.9762
20:40:56.901      Training iter 450, batch loss 0.0007, batch acc 0.9798
20:40:57.148      Training iter 500, batch loss 0.0006, batch acc 0.9820
20:40:57.382      Training iter 550, batch loss 0.0008, batch acc 0.9756
20:40:57.628      Training iter 600, batch loss 0.0009, batch acc 0.9770
20:40:57.630 Testing @ 16 epoch...
20:40:57.823      Testing, total mean loss 0.00092, total acc 0.97190
20:40:58.078      Training iter 50, batch loss 0.0007, batch acc 0.9782
20:40:58.332      Training iter 100, batch loss 0.0007, batch acc 0.9786
20:40:58.547      Training iter 150, batch loss 0.0007, batch acc 0.9798
20:40:58.808      Training iter 200, batch loss 0.0008, batch acc 0.9788
20:40:59.067      Training iter 250, batch loss 0.0008, batch acc 0.9764
20:40:59.319      Training iter 300, batch loss 0.0007, batch acc 0.9806
20:40:59.544      Training iter 350, batch loss 0.0007, batch acc 0.9822
20:40:59.785      Training iter 400, batch loss 0.0006, batch acc 0.9824
20:41:00.027      Training iter 450, batch loss 0.0007, batch acc 0.9784
20:41:00.277      Training iter 500, batch loss 0.0007, batch acc 0.9822
20:41:00.506      Training iter 550, batch loss 0.0007, batch acc 0.9792
20:41:00.760      Training iter 600, batch loss 0.0007, batch acc 0.9816
20:41:00.761 Testing @ 17 epoch...
20:41:00.942      Testing, total mean loss 0.00091, total acc 0.97330
20:41:01.191      Training iter 50, batch loss 0.0007, batch acc 0.9780
20:41:01.438      Training iter 100, batch loss 0.0007, batch acc 0.9812
20:41:01.685      Training iter 150, batch loss 0.0006, batch acc 0.9826
20:41:01.945      Training iter 200, batch loss 0.0006, batch acc 0.9850
20:41:02.210      Training iter 250, batch loss 0.0007, batch acc 0.9798
20:41:02.464      Training iter 300, batch loss 0.0007, batch acc 0.9804
20:41:02.715      Training iter 350, batch loss 0.0007, batch acc 0.9788
20:41:02.960      Training iter 400, batch loss 0.0006, batch acc 0.9820
20:41:03.214      Training iter 450, batch loss 0.0006, batch acc 0.9822
20:41:03.456      Training iter 500, batch loss 0.0008, batch acc 0.9782
20:41:03.692      Training iter 550, batch loss 0.0007, batch acc 0.9818
20:41:03.927      Training iter 600, batch loss 0.0007, batch acc 0.9798
20:41:03.929 Testing @ 18 epoch...
20:41:04.122      Testing, total mean loss 0.00089, total acc 0.97280
20:41:04.371      Training iter 50, batch loss 0.0007, batch acc 0.9824
20:41:04.609      Training iter 100, batch loss 0.0006, batch acc 0.9838
20:41:04.832      Training iter 150, batch loss 0.0006, batch acc 0.9808
20:41:05.088      Training iter 200, batch loss 0.0006, batch acc 0.9820
20:41:05.338      Training iter 250, batch loss 0.0006, batch acc 0.9848
20:41:05.596      Training iter 300, batch loss 0.0007, batch acc 0.9794
20:41:05.827      Training iter 350, batch loss 0.0006, batch acc 0.9826
20:41:06.046      Training iter 400, batch loss 0.0007, batch acc 0.9822
20:41:06.277      Training iter 450, batch loss 0.0007, batch acc 0.9812
20:41:06.500      Training iter 500, batch loss 0.0007, batch acc 0.9804
20:41:06.711      Training iter 550, batch loss 0.0006, batch acc 0.9820
20:41:06.928      Training iter 600, batch loss 0.0006, batch acc 0.9838
20:41:06.930 Testing @ 19 epoch...
20:41:07.069      Testing, total mean loss 0.00086, total acc 0.97300
20:41:07.283      Training iter 50, batch loss 0.0007, batch acc 0.9808
20:41:07.523      Training iter 100, batch loss 0.0006, batch acc 0.9840
20:41:07.769      Training iter 150, batch loss 0.0006, batch acc 0.9812
20:41:08.015      Training iter 200, batch loss 0.0006, batch acc 0.9852
20:41:08.250      Training iter 250, batch loss 0.0007, batch acc 0.9822
20:41:08.493      Training iter 300, batch loss 0.0006, batch acc 0.9842
20:41:08.725      Training iter 350, batch loss 0.0006, batch acc 0.9808
20:41:08.958      Training iter 400, batch loss 0.0006, batch acc 0.9838
20:41:09.198      Training iter 450, batch loss 0.0006, batch acc 0.9808
20:41:09.452      Training iter 500, batch loss 0.0006, batch acc 0.9832
20:41:09.701      Training iter 550, batch loss 0.0005, batch acc 0.9858
20:41:09.931      Training iter 600, batch loss 0.0006, batch acc 0.9822
20:41:09.933 Testing @ 20 epoch...
20:41:10.111      Testing, total mean loss 0.00086, total acc 0.97300
20:41:10.338      Training iter 50, batch loss 0.0006, batch acc 0.9820
20:41:10.590      Training iter 100, batch loss 0.0006, batch acc 0.9834
20:41:10.829      Training iter 150, batch loss 0.0006, batch acc 0.9856
20:41:11.081      Training iter 200, batch loss 0.0006, batch acc 0.9850
20:41:11.329      Training iter 250, batch loss 0.0005, batch acc 0.9852
20:41:11.557      Training iter 300, batch loss 0.0006, batch acc 0.9866
20:41:11.807      Training iter 350, batch loss 0.0006, batch acc 0.9858
20:41:12.048      Training iter 400, batch loss 0.0005, batch acc 0.9850
20:41:12.297      Training iter 450, batch loss 0.0006, batch acc 0.9852
20:41:12.534      Training iter 500, batch loss 0.0007, batch acc 0.9794
20:41:12.777      Training iter 550, batch loss 0.0005, batch acc 0.9846
20:41:13.011      Training iter 600, batch loss 0.0006, batch acc 0.9842
20:41:13.012 Testing @ 21 epoch...
20:41:13.194      Testing, total mean loss 0.00084, total acc 0.97480
20:41:13.457      Training iter 50, batch loss 0.0005, batch acc 0.9878
20:41:13.714      Training iter 100, batch loss 0.0006, batch acc 0.9824
20:41:13.963      Training iter 150, batch loss 0.0006, batch acc 0.9842
20:41:14.220      Training iter 200, batch loss 0.0006, batch acc 0.9850
20:41:14.466      Training iter 250, batch loss 0.0006, batch acc 0.9858
20:41:14.710      Training iter 300, batch loss 0.0006, batch acc 0.9830
20:41:14.958      Training iter 350, batch loss 0.0006, batch acc 0.9834
20:41:15.208      Training iter 400, batch loss 0.0005, batch acc 0.9850
20:41:15.453      Training iter 450, batch loss 0.0005, batch acc 0.9860
20:41:15.709      Training iter 500, batch loss 0.0006, batch acc 0.9828
20:41:15.941      Training iter 550, batch loss 0.0005, batch acc 0.9850
20:41:16.187      Training iter 600, batch loss 0.0005, batch acc 0.9850
20:41:16.189 Testing @ 22 epoch...
20:41:16.382      Testing, total mean loss 0.00087, total acc 0.97350
20:41:16.641      Training iter 50, batch loss 0.0006, batch acc 0.9848
20:41:16.897      Training iter 100, batch loss 0.0005, batch acc 0.9876
20:41:17.127      Training iter 150, batch loss 0.0005, batch acc 0.9884
20:41:17.351      Training iter 200, batch loss 0.0005, batch acc 0.9874
20:41:17.626      Training iter 250, batch loss 0.0005, batch acc 0.9882
20:41:17.902      Training iter 300, batch loss 0.0006, batch acc 0.9852
20:41:18.163      Training iter 350, batch loss 0.0006, batch acc 0.9836
20:41:18.432      Training iter 400, batch loss 0.0005, batch acc 0.9854
20:41:18.701      Training iter 450, batch loss 0.0005, batch acc 0.9848
20:41:18.967      Training iter 500, batch loss 0.0006, batch acc 0.9844
20:41:19.223      Training iter 550, batch loss 0.0005, batch acc 0.9828
20:41:19.470      Training iter 600, batch loss 0.0005, batch acc 0.9838
20:41:19.472 Testing @ 23 epoch...
20:41:19.593      Testing, total mean loss 0.00081, total acc 0.97490
20:41:19.801      Training iter 50, batch loss 0.0005, batch acc 0.9886
20:41:20.004      Training iter 100, batch loss 0.0005, batch acc 0.9868
20:41:20.208      Training iter 150, batch loss 0.0005, batch acc 0.9858
20:41:20.436      Training iter 200, batch loss 0.0005, batch acc 0.9844
20:41:20.666      Training iter 250, batch loss 0.0006, batch acc 0.9838
20:41:20.889      Training iter 300, batch loss 0.0005, batch acc 0.9862
20:41:21.151      Training iter 350, batch loss 0.0005, batch acc 0.9852
20:41:21.425      Training iter 400, batch loss 0.0005, batch acc 0.9864
20:41:21.708      Training iter 450, batch loss 0.0005, batch acc 0.9876
20:41:22.002      Training iter 500, batch loss 0.0005, batch acc 0.9882
20:41:22.286      Training iter 550, batch loss 0.0005, batch acc 0.9844
20:41:22.561      Training iter 600, batch loss 0.0005, batch acc 0.9846
20:41:22.563 Testing @ 24 epoch...
20:41:22.716      Testing, total mean loss 0.00079, total acc 0.97510
20:41:22.989      Training iter 50, batch loss 0.0005, batch acc 0.9896
20:41:23.251      Training iter 100, batch loss 0.0005, batch acc 0.9866
20:41:23.512      Training iter 150, batch loss 0.0004, batch acc 0.9892
20:41:23.788      Training iter 200, batch loss 0.0005, batch acc 0.9868
20:41:24.061      Training iter 250, batch loss 0.0005, batch acc 0.9844
20:41:24.314      Training iter 300, batch loss 0.0005, batch acc 0.9888
20:41:24.580      Training iter 350, batch loss 0.0004, batch acc 0.9886
20:41:24.853      Training iter 400, batch loss 0.0005, batch acc 0.9854
20:41:25.131      Training iter 450, batch loss 0.0005, batch acc 0.9852
20:41:25.402      Training iter 500, batch loss 0.0005, batch acc 0.9842
20:41:25.684      Training iter 550, batch loss 0.0005, batch acc 0.9866
20:41:25.959      Training iter 600, batch loss 0.0005, batch acc 0.9902
20:41:25.961 Testing @ 25 epoch...
20:41:26.141      Testing, total mean loss 0.00078, total acc 0.97550
20:41:26.408      Training iter 50, batch loss 0.0004, batch acc 0.9904
20:41:26.672      Training iter 100, batch loss 0.0005, batch acc 0.9886
20:41:26.916      Training iter 150, batch loss 0.0005, batch acc 0.9876
20:41:27.163      Training iter 200, batch loss 0.0005, batch acc 0.9892
20:41:27.429      Training iter 250, batch loss 0.0005, batch acc 0.9876
20:41:27.685      Training iter 300, batch loss 0.0004, batch acc 0.9894
20:41:27.911      Training iter 350, batch loss 0.0004, batch acc 0.9886
20:41:28.165      Training iter 400, batch loss 0.0004, batch acc 0.9876
20:41:28.384      Training iter 450, batch loss 0.0005, batch acc 0.9886
20:41:28.627      Training iter 500, batch loss 0.0006, batch acc 0.9844
20:41:28.880      Training iter 550, batch loss 0.0005, batch acc 0.9892
20:41:29.144      Training iter 600, batch loss 0.0005, batch acc 0.9870
20:41:29.145 Testing @ 26 epoch...
20:41:29.336      Testing, total mean loss 0.00077, total acc 0.97570
20:41:29.609      Training iter 50, batch loss 0.0004, batch acc 0.9876
20:41:29.888      Training iter 100, batch loss 0.0004, batch acc 0.9916
20:41:30.159      Training iter 150, batch loss 0.0004, batch acc 0.9902
20:41:30.428      Training iter 200, batch loss 0.0004, batch acc 0.9906
20:41:30.696      Training iter 250, batch loss 0.0005, batch acc 0.9870
20:41:30.963      Training iter 300, batch loss 0.0004, batch acc 0.9894
20:41:31.236      Training iter 350, batch loss 0.0004, batch acc 0.9876
20:41:31.495      Training iter 400, batch loss 0.0005, batch acc 0.9874
20:41:31.770      Training iter 450, batch loss 0.0004, batch acc 0.9866
20:41:32.036      Training iter 500, batch loss 0.0004, batch acc 0.9868
20:41:32.294      Training iter 550, batch loss 0.0005, batch acc 0.9870
20:41:32.557      Training iter 600, batch loss 0.0005, batch acc 0.9856
20:41:32.559 Testing @ 27 epoch...
20:41:32.740      Testing, total mean loss 0.00078, total acc 0.97490
20:41:33.026      Training iter 50, batch loss 0.0004, batch acc 0.9890
20:41:33.310      Training iter 100, batch loss 0.0004, batch acc 0.9868
20:41:33.570      Training iter 150, batch loss 0.0004, batch acc 0.9894
20:41:33.839      Training iter 200, batch loss 0.0004, batch acc 0.9906
20:41:34.131      Training iter 250, batch loss 0.0004, batch acc 0.9864
20:41:34.402      Training iter 300, batch loss 0.0004, batch acc 0.9888
20:41:34.669      Training iter 350, batch loss 0.0005, batch acc 0.9898
20:41:34.910      Training iter 400, batch loss 0.0004, batch acc 0.9902
20:41:35.166      Training iter 450, batch loss 0.0004, batch acc 0.9908
20:41:35.425      Training iter 500, batch loss 0.0004, batch acc 0.9922
20:41:35.644      Training iter 550, batch loss 0.0004, batch acc 0.9878
20:41:35.861      Training iter 600, batch loss 0.0005, batch acc 0.9882
20:41:35.863 Testing @ 28 epoch...
20:41:35.979      Testing, total mean loss 0.00076, total acc 0.97540
20:41:36.207      Training iter 50, batch loss 0.0005, batch acc 0.9876
